Keyword,Cleaned_Link,Relevance
Amhara Fano forces,https://www.nytimes.com/live/2021/06/29/world/tigray-ethiopia/the-revolutionaries-have-won-tigrayan-forces-reclaim-their-capital,
Eritrea,https://www.nytimes.com/2021/04/15/world/africa/ethiopia-eritrea-tigray.html,
Abiy Ahmed,https://www.nytimes.com/2020/11/04/world/africa/ethiopia-abiy-tigray.html,
Amhara Fano forces,https://www.nytimes.com/2022/06/20/world/africa/ethiopia-massacre-oromia.html,
Ethiopia,https://www.nytimes.com/2022/11/02/world/africa/ethiopia-tigray-civil-war.html,
Amhara,https://www.nytimes.com/2022/06/20/world/africa/ethiopia-massacre-oromia.html,
TPLF,https://www.nytimes.com/2021/03/19/world/africa/ethiopia-tigray-atrocities.html,
Pretoria Peace Agreement,https://www.nytimes.com/2022/11/03/world/africa/ethiopia-tigray-civil-war-agreement.html,
Ethiopia,https://www.nytimes.com/2021/12/15/world/africa/ethiopia-abiy-ahmed-nobel-war.html,
Ethiopia,https://www.nytimes.com/2020/12/28/world/africa/Ethiopia-Eritrea-Tigray.html,
Amhara,https://www.nytimes.com/2022/06/19/world/africa/ethiopia-attack-amhara-people.html,
Abiy Ahmed,https://www.nytimes.com/2020/11/26/world/africa/ethiopia-tigray-abiy-ahmed.html,
Eritrea,https://www.nytimes.com/2021/06/21/world/africa/Ethiopia-election-Abiy-Ahmed.html,
Abiy Ahmed,https://www.nytimes.com/2021/06/21/world/africa/Ethiopia-election-Abiy-Ahmed.html,
Ethiopia,https://www.nytimes.com/2021/04/01/world/africa/ethiopia-tigray-sexual-assault.html,
TPLF,https://www.nytimes.com/2022/11/10/opinion/ethiopia-tigray-peace-talks.html,
Abiy Ahmed,https://www.nytimes.com/2020/11/26/opinion/ethiopia-tigray-abiy-ahmed.html,
Amhara Fano forces,https://www.nytimes.com/2022/11/02/world/africa/ethiopia-tigray-civil-war.html,
Amhara Fano forces,https://www.nytimes.com/2020/12/09/world/africa/ethiopia-tigray-sudan.html,
Amhara Region,https://www.nytimes.com/2021/10/22/world/africa/ethiopia-united-nations-aid.html,
Eritrean Troops,https://www.nytimes.com/2021/06/29/world/africa/ethiopia-eritrea-tigray-conflict.html,
Pretoria Peace Agreement,https://www.nytimes.com/2021/12/27/opinion/colombia-peace-agreement.html,
